100, 101, 2
101, 102, 4
102, 103, 2
103, 104, 9
104, 105, 8
105, 106, 10
106, 107, 6
107, 108, 5
108, 109, 10
109, 110, 9
1, 100, 1
110, 1000, 1
200, 201, 6
201, 202, 1
202, 203, 9
203, 204, 3
204, 205, 4
1, 200, 1
205, 1000, 1
300, 301, 6
301, 302, 5
302, 303, 10
303, 304, 3
304, 305, 10
305, 306, 7
306, 307, 8
307, 308, 6
1, 300, 1
308, 1000, 1
400, 401, 1
401, 402, 4
402, 403, 4
403, 404, 9
404, 405, 6
405, 406, 3
406, 407, 2
407, 408, 7
408, 409, 8
1, 400, 1
409, 1000, 1
500, 501, 10
501, 502, 4
502, 503, 2
503, 504, 3
504, 505, 9
505, 506, 8
506, 507, 8
507, 508, 2
508, 509, 7
509, 510, 6
1, 500, 1
510, 1000, 1
